"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"2428";"boulevard Magenta. place Etoile.";"refus de priorité à droite quand on roule tout droit sur piste cyclable et automobile tourne à droite"
"2429";"Piste cyclable avenue Foch avec alternativement pavés et bitume dégradé, très pénible au quotidien.";NA
"2430";"le passage du périphérique (notamment porte de Montreuil)";"Le plus gros inconvénient reste les voitures et surtout les scooters, la pollution et le bruit stressant qu'ils engendrent. Il faut être très concentré, on n'a pas le droit à quelques secondes d'inattention... Les habitants manquent de ""formation"" et ne sont pas encore habitués à penser aux cyclistes, mais tout s'apprend ! 
Je crois qu'on devrait obliger chaque utilisateur à essayer le véhicule de l'autre pour bien comprendre les problèmes rencontrés par les piétons, les automobilistes, les 2 roues motorisés, les cyclistes. Pour le moment chacun est intolérant aux autres.
Ce serait top de pouvoir FACILEMENT accrocher son vélo partout, ailleurs qu'à une poubelle, pouvoir le regonfler aussi..."
"2431";"Place de la Concorde";"Le mélange bus+taxi+vélo sur une même voie est anxiogène pour tous
Il manque des liaisons entre grande banlieue et Paris (aujourd'hui impossible car par endroit il y a seulement des voies rapides)
La pratique du vélo sera impossible à Paris pour les enfants tant qu'il n'y aura pas de vraies séparations entre voies cyclables et trafic motorisé
Les voies cyclables sont pleines de nids de poule et autres pièges
Les véhicules stationnés sur les pistes cyclables ne sont jamais verbalisés. Pourquoi alors que par endroit les véhicules garés sur les places de livraison sont enlevés en quelques minutes? Quid de la verbalisation video?"
"2432";"La piste cyclable du boulevard Magenta";"Les pouvoirs publics vont dans le bon sens. Il faut continuer à éduquer les usagers de la route et les amener à se poser la question : ""agirais-je de même avec des voitures ?"", par exemple lorsque les automobilistes s'arrêtent en warning sur les pistes cyclables."
"2433";"Place De la concorde, quais rive droite, place de l'Etoile";"Pistes cyclables souvent bloquées par des voiture stationnées ou autres. Itinéraires vélo pas pratiques"
"2434";"Les axes sans piste cyclable aux heures de pointes";"Un maximum de piste cyclable bien séparé du trafic automobile"
"2435";"Tous les grands carrefours.";NA
"2436";"Les endroits les plus problématiques sont les grands axes où une simple piste cyclable est dessinée au sol (exemple : quai d'Austerlitz) -> les camions se garent en double file et obligent les vélos à faire des écarts.

Toutes les routes où le vélo doit partager son itinéraire avec les bus et taxis (exemple : boulevard de l'Hôpital ou quai de Gesvres) -> les taxis roulent vite, les bus ne s'écartent pas vraiment pour doubler : peur.

Les carrefours très larges ou c'est l'anarchie totale, le vélo a sa piste cyclable qui s'arrête et se retrouve pris entre les piétons et les voitures (exemple rond point entre le quai d'Austerlitz et le boulevard de l'hôpital)

Toutes les fois où le vélo circule en contresens des voitures sur des routes assez empruntées. Car non, peindre un logo de vélo au sol ne créé pas de pistes cyclables !";"Des efforts sont faits mais beaucoup d'itinéraires restent dangereux et il faut être aguerris pour oser prendre le vélo à Paris.
Dessiner un logo de vélo au sol ou sur une voie de bus ne créé pas une piste cyclable. Je n'oserais jamais proposer à mes enfants de faire du vélo à Paris, ils seraient en danger. 

Dès que les pistes sont vraiment séparées de la route par des terres-pleins, faire du vélo devient un plaisir : plus de voitures stationnées en double file, des feux adaptés, des carrefours avec un parcours pour le vélo."
"2437";"Grands axes";NA
"2438";"Quitter Paris
Passer le periph";NA
"2439";"Les rond-points, le partage des voies avec les piétons (au avenue d'italie du Kremlin Bicêtre)
Finalement, presque partout, à cause de l'innatention des voitures";"Tant que Paris (les villes en générale) seront pensées pour les voitures, cela restera difficile et dangereux de circuler à vélo. Ajouter des pistes cyclables éparses ne suffit pas à sécuriser la pratique du vélo"
"2440";"rue Froidevaux sens montée,   et les grandes portes  au niveau du BP";"Il manque des espaces de test de vélos adaptés et vélos cargos"
"2441";"Rue de rivoli
Avenue des Champs Elysées";"Enorme progression en 10 ans, il faut que cela continue et que le vélo soit mis au coeur de la ville pour que cela devienne un réflexe pour de plus en plus de personne."
"2442";"Tous les axes moyens au trafic important, sans possibilités de voies cyclables. Par exemple :   
rue d'Alésia, rue de charenton, rue du chemin vert, avenue d'Italie.";NA
"2443";"Carrefour bas du boulevard de l'hôpital/quai de seine";"Les pistes cyclables sont insuffisamment séparées du trafic automobile: elles limitent donc le nombre d'utilisateur compte tenu du danger réel à leur utilisation (exemple fréquent du tourner à droite coupant une piste cyclable). J'ai moi même ete  percuté dans ce contexte."
"2444";"Les boulevards entre saint lazare et republique";NA
"2445";"Centre ville";"Je rêve d'une ville à vélo . J'attaque ma troisième année, c'est formible sauf pour mes poumons ."
"2446";NA;"La qualité de l'air est déplorable..."
"2447";"???";"La pollution subie est très gênante."
"2448";"traversé des grands axes";"Les contresens cyclabes sont dangeureux. Il faut réellement favoriser la séparation des cyclistes de la circulation automobile. Il faut favoriser l'intermodalité des transports"
"2449";"Paris intra muros";NA
"2450";"Ce n'est pas tant l'endroit, mais la concentration en heure de pointe. Pas de respect des feux par les piétons pressés. Ligne blanche inexistantes pour les scooters, qui roulent souvent à contre sens sur la piste cyclable (quelques vélos également). Les voitures tournent à droite sans regarder et sans clignotants.";"C'est dangereux (surtout les scoot et quelques taxi) et nous ne sommes pas bien accueillis par tous les autres usagers.
Je me sens bien plus respecté en moto par exemple.
Ont ""fait chier"" les gens, on ne se sent jamais à notre place même sur des pistes cyclables, qui servent de parking, de balade au piétons, de raccourci aux scooters..."
"2451";"Sur le boulevard du Montparnasse entre Montparnasse et port Royal";"Les voitures, piétons, taxis (!!!) et scooters devraient être davantage sensibilisés au fait que les vélos circulent sur la voie. Une campagne de sensibilisation devrait être lancée. Les taxis,qui sont tolérés sur les voies de bus et de vélos, devraient être informés que les vélos y sont à leur place et ne devraient pas être stressés et poussés alors que les taxis ont leur propre voie pour se déplacer s'ils ne sont pas contents. Sur certaines pistes cyclables, notamment avenue Denfert-rochereau et boulevard des maréchaux au niveau de porte de Vanves, les pistes cyclables devraient être séparées des trottoirs par des poteaux car les piétons ne font pas la différence entre les 2. Cela est dangereux dans la mesure où les piétons ne font pas du tout attention à leur environnement."
"2452";"Le carrefour entre le boulevard de l'hopital et le pont d'Austerlitz";NA
"2453";"Rue molitor quartier auteuil";NA
"2454";"Pour un itinéraire 19ème / 13ème arrondissement, en passant le long du canal de l'Ourcq puis du canal St Martin, le lieu le plus problématique est la traversée de la place de la Bastille avant de rejoindre la piste cyclable du bd de la Bastille";NA
"2455";"la route vers la tour Eiffel de notre dame au champ de mars est très mal entrevue (nid de poule sur le côté) + énormément de circulation/bus/moto très rapide (et peu de respect des vélos...)";NA
"2456";"Boulevard Magenta, Grands boulevards et généralement les grosses artères où les vélos doivent rouler sur dans les voies de bus, s'exposant ainsi à la pollution et aux bus / taxis / VTC / 2RM";NA
"2457";"Château rouge. Problème avec piétons toujours sur la piste cyclable";NA
"2458";"Le franchissement des carrefours est TRES dangereux, entre les bus, les automobilistes, et les motards (Alésia, Porte Maillot, Montparnasse-Bienvenue, Denfert-Rochereau)... le cycliste est le plus fragile, et le plus lent. On se sent seul au monde lorsqu'on est pris dans le flot des voitures en plein milieu de Denfert-Rochereau avec des conducteurs qui parfois cherchent leur route, et ne se sont pas bien positionnés au départ. 
Les axes roulants avec de grands boulevards sont aussi très dangereux. Par exemple, l'avenue qui relie porte d'Orléans-Alesia-Denfert est très difficile pour les vélos, car le bord de la route est très mal entretenu, et on peut rapidement avoir une roue qui tourne et faire un écart quand une voiture (ou un bus, ou une moto) est en train de nous dépasser. 
Enfin, je considère que les maréchaux le long du T3, et les franchissements des portes de Paris sont un exemple à suivre. La circulation y est sûre et agréable. Le franchissement des carrefours aux différentes portes se fait simplement, à part la Porte Maillot dont le passage à vélo pour rejoindre la Défense constitue une aventure humaine tous les jours.";"Je ne me déplace qu'en vélo dans Paris en utilisant les vélib dès que le climat le permet. Je brave le danger des voies cyclables dans les voies bus, je prends mon courage à deux mains pour franchir Alésia et Denfert Rochereau sans accident (en fin de journée, donc de nuit...). J'adore me déplacer en vélo, mais je pourrais limiter encore plus mes déplacements en voiture, si le vélo était moins dangereux.
Je n'utilise pas ou très peu mon vélo personnel (autre que vélib) par manque de stationnement sécurisé principalement."
"2459";"Gare du Nord pour les vols de vélos
Concorde, les Champs-Elysées, les Grands-Boulevards, Place de l'Etoile, pour la circulation
Les itinéraires vers la banlieue Nord sont encombrés et pas agréables à vélo.
Et partout où tout le monde se gare sur les voies de bus et pistes cyclables";NA
"2460";"Les rues des quais bordant la Seine, boulevard de l'hôpital, boulevard saint Michel, boulevard de la Chappelle, boulevard de Clichy, boulevard Batignolled.";NA
"2461";"Trop de voitures et de pollution";"Il faut continuer les efforts"
"2462";"Les grands axes , avenues et boulevards qui devraient comporter des pistes cyclables totalement séparées des engins motorisés et les gares qui manquent cruellement de places de parking vélo .";"Je suis cycliste au quotidien depuis plus de 30 ans à Paris (5000kms/an) et j'ai eu l'occasion de constater le retard considérable de Paris et plus généralement des villes françaises par rapport à l'Allemagne (et plus encore la Hollande ou le Danemark) pour ce qui est des infrastructures urbaines (pistes cyclables séparées et parking à vélo) favorisant la pratique du vélo comme moyen de transport au quotidien , alors qu'en France il est encore majoritairement considéré soit comme un sport soit comme un instruments de loisirs (week-end et vacances) . Il faut donc de tout urgence réduire la place de la voiture en ville afin de réduire les maux dont elle est responsable : Pollution , bruit , agressivité etc ... et en parallèle favoriser l'utilisation des transports doux pour une ville apaisée ."
"2463";NA;"Bravo pour les efforts de la mairie. On en redemande :)"
"2464";"RIvoli";NA
"2465";"Etoile";NA
"2466";"Les grosses places type bastille";NA
"2467";"les grands axes et l'accès aux voies cyclables";"C'est trop dangereux pour les enfants !"
"2468";"Sur les pistes cyclables !";"protéger les cyclistes"
"2469";"les pistes cyclables sur les trottoirs";NA
"2470";"Centre ville";NA
"2471";"bastille";NA
"2472";"L'axe Porte de Vincennes - Bastille - Châtelet (horrible) et aussi tout l'ouest, avec les pavés et les grandes rues polluées";"Des efforts sont faits, mais il faut aller plus loin, en montrant par exemple que le vélo est bon pour la santé, plutôt que d'effrayer de potentiels usagers. Il faudrait mettre en place un permis / formation gratuite pour légitimiser ce mode de transport. Montrer que l'on va plus vite en vélo que bloqué pendant des heures tout seul dans sa bagnole."
"2473";"Le plus grand problème ce sont les itinéraires vélo aménagés sur les trottoirs. Le partage vélo/piétons est une aberration.";NA
"2474";"Itinéraire du bus 62, surtout entre Alésia et la Seine (14 puis 13ème arrondissement)";NA
"2475";"circulation dans le 9ème pas de pistes cyclables séparés des véhicules par exemple bd haussmann, rue lafayette, rue de clichy les grands axes.
";"le partage des espaces sur les voies de bus, les trottoirs et les espaces délimités de tirets blancs ne fonctionnent pas ils sont à revoir.
Ce que réduit bien la circulation et la vitesse des automobiles ce sont les rues dont le sens est inversé comme rue de chabrol ou rue lafayette/bleue, les rues qui sont dans un seul sens entrainent énormément de circulation comme les rues de liège, moncey, la bruyère ..."
"2476";"Toutes les rues où il n'y a pas de séparateur entre les files de voitures et de vélos. Par ailleurs il y a de plus en plus de scooters qui roulent sur les pistes cyclables pour aller plus vite. Enfin l'aménagement du Bd de Magenta est extrêmement dangereux.";"Il faut poursuivre la politique d'aménagement des pistes cyclables et mettre en place de Réseau express Vélos."
"2477";"Place de l'étoile";"Non"
"2478";"Le croisement avenue du Maine / bd Montparnasse/ rue de vaugirard";"Peu de vraie piste cyclable,
Être avec les bus restent tout de même dangereux et moins agréable qu'une vraie piste cyclable"
"2479";"piste cyclable entre Bir Hakeim et Iéna, puis jusqu'au Pont de l'Alma";"Moins de com et plus d'actions seraient souhaitables. Sans compter que la mairie a même couper une piste sur l'allée des fortifications dans le XVIème en la remplacement par une bande non protégée sur les Maréchaux..."
"2480";"Ponts sur le périphérique";"Trop de pollution"
"2481";"Tous les grands carrefours et rond points";NA
"2482";"Partage de la piste cyclable et de la voie bus";NA
"2483";"Sur l'avenue de la République et l'arrivée sur la place pour se diriger vers la rue du temple !";"De gros progrès mais il y a encore beaucoup à faire !"
"2484";"Le boulevard des maréchaux, itinéraire continu mais en montagne russe ce qui le rends peu agréable alors qu'il offre une belle continuité";NA
"2485";"Place de l'Etoile";"La pollution est insupportable"
"2486";"Sur les voies partagées avec les bus. Ils ne nous respectent pas.";"Méconnaissance des piétons et automobilistes sur les pistes a doublé sens, piétons ne respectent pas la piste. Cyclable. Des incivilites entre tous, c triste."
"2487";"place de l'Étoile";NA
"2488";"Exemple : rue. Du Faubourg saint Antoine ou rue de Rivoli : livraisons et arrêts sur les pistes";"Pénaliser scooters et motos sur les pistes cyclables"
"2489";"19ème";"Les deux roues motorisés sont hyper dangereux et effrayants, aucun respect aux pistes cyclables ni  à la sécurité des cyclistes"
"2490";"faire du vélo le long de la seine à partir d'Asnières sur Seine direction Paris (en traversant La Défense etc)";"J'adore faire du vélo mais c'est assez stressant de rouler dans Paris et ses alentours.  On est souvent forcé à partager la roue avec les bus et les taxis, ce qui est non seulement dangereux mais aussi mauvais pour les poumons.  C'est dommage qu'étant donné le réchauffement climatique les vélos ne sont pas assez privilégiés. Il n'y a pas assez de pistes cyclables et la plupart des gens que je connais ne font pas de vélo car ils le considèrent trop dangereux.  Aussi, si j'ai une crevaison je ne peux pas mettre mon vélo ni dans le métro ni dans un bus (à San Francisco par exemple on peut mettre les vélos sur une cadre située devant les bus).  Finalement, c'est fort dommage qu'il n'y a quasiment pas de pistes sur le quai au long de la Seine.  Développer les pistes cyclables sans coupures au bord de la Seine encourageait plus de personnes à utiliser leurs vélos pour aller au travail."
"2491";"Les halles manquent de parking velo";"Les voitures ne respectent pas les pistes cyclables"
"2492";"les quartiers les plus touristiques : saint michel, chatelet-les halles, notre dame.";"Je trouve ça dommage que les déplacements en vélo soient si dangereux, et que cela décourage autant de monde. Le vélo est pour moi la meilleure solution aux problèmes les plus courants rencontrés en ville : il est silencieux, non polluants, bon pour la santé et économique. Que demander de plus ? Il ne manque plus que la sécurité, qui malheureusement n'est pas au rendez-vous. Je fais tous les jours plus de 15km en vélo et je risque de me faire renverser à chaque trajet, surtout par des scooters. Pourtant je ne roule pas vite et je respecte au maximum le code de la route. A l'avenir j'espère voir de plus en plus de monde prendre conscience que le confort n'est pas forcément la meilleure des solutions afin de faire avancer une ville dans le bon sens."
"2493";"les grandes places comme par exemple la place Denfert-Rochereau";"C'est très désagréable d'être derrière un bus diesel dans un couloir de bus"
"2494";"Une partie du boulevard Saint Martin, en direction de République : une seule voie de circulation pour tous les usagers (bus, voitures etc)";"Sur mon itinéraire quotidien (du Boulevard de Belleville à Porte d'AUbervilliers via le canal de l'Ourq), j'ai davantage peur des piétons que des auto ou motos : ils marchent et/ou courent sur les pistes cyclables alors que les trottoirs qui leur sont réservés sont super larges. Ils traversent les pistes cyclables sans regarder, ou pire, le nez sur leur portable ! Par ailleurs, nouveau phénomène qui se répand de plus en plus : le chien sans laisse! Ca devient un fléau, hyper dangereux. Les maitres n'en ont rien à foutre du danger qu'ils font courir aux cyclistes. Enfin, n'hésitons pas à évoquer également l'incivilité des cyclistes qui brulent les feux (surtout aux carrefours) ou qui se permettent de forcer le passage au nez et à la barbe du piéton qui traverse sur un passage clouté, avec klaxonne excédé à l'appui. Un comble..."
"2495";"Avenue du général Leclerc, 75014. Boulevard de Sébastopol";NA
"2496";"La traversée des grandes places pavées à l'ancienne (Concorde, Bastille, place d'Italie, place Denfert-Rochereau ; République est très bien depuis la rénovation) et la plupart des portes du périphériques (les seules qui me semblent bien aujourd'hui sont la porte de Pantin et la porte Dorée)";"Sur les doubles-sens cyclistes : certains sont très dangereux , surtout dans les rues avec stationnement voiture des deux côtés de la rue (je pense notamment à ceux du quartier des Batignolles : à titre personnel, je les évite). Sur les voies cyclables : sur les grands axes je préfère les voies partagées avec les bus aux bandes cyclables sur le côté des trottoirs, qui peuvent vite devenir insupportables lorsque vélos et piétons se multiplient, car il est alors difficile de réguler sa vitesse tout en faisant attention à tout ce qui se passe autour (exemple : je préfère largement les aménagements du boulevard Sébastopol à ceux du boulevard Magenta)"
"2497";"Les arrondissements de l'ouest (16 et 17ème) et du quartier central d'affaire (8 et 9ème), 
Les portes, en particulier porte de Bagnolet";NA
"2498";"Les endroits les plus dangereux sont les grands axes des grands boulevards où les pistes cyclables sont souvent encombrées. Les piétons passent leur temps à traverser la piste cyclable sans regarder ou même en regardant leur téléphone. Enormement de scooters utilisent la piste cyclable. (il m'est dé jà arrivé qu'u scooter me klaxonne pour que je le laisse passer sur la piste cyclable.) 
De manière général, le danger est dans le fait que les piétons et les véhiculent motorisés ne réalisent pas que nous sommes là et que nous pouvons les heurter accidentellement pour les piétons et nous heurter pour les véhicules.";NA
"2499";"Les grands boulevards";"Vous n'avez pas parlé de la pollution, critère essentiel à mon sens, et qui s'accorde avec l'argument de sécurité pour limiter au maximum la présence de véhicules motorisés en ville."
"2500";"Certains grands axes ne sont toujours pas aménagés pour les vélos.";"Le plan piéton et vélo parisien est ambitieux. Il faut peut être simplement être patient. La transition entre les anciens et les nouveaux velib est également à prendre en compte actuellement."
"2501";"Les pistes cyclables avec voitures garées sur la gauche. Des piétons qui surgissent entre les voitures, les portières qui s'ouvrent et les livraisons.";"Les automobilistes sont fous. Certains sont de réels assassins qui en arrivent à pourchasser les cyclistes quand ils sont mécontents d'une remarque ou d'un rappel de refus de priorité."
"2502";"Grands axes";NA
"2503";"tous les faubourgs";NA
"2504";"Les maréchaux";NA
"2505";"Rue Tolbiac paris 13";"Des voies cyclades séparées des piétons et des véhicules motorisés, pour la sécurité de tous"
"2506";"Avenue des ternes";NA
"2507";"Barbès";NA
"2508";"Sur les maréchaux la piste a des sauts et des s de très souvent et surtout il y a très souvent des véhicules stationnés dessus .";"Je pense que le vélo à un mauvaise image chez les automobilistes ce qui les rend agressif. Il fait apprendre aux vélo et au voitures à rouler ensemble sans obligtoirement limiter la vitesse ou les voies des voitures."
"2509";"Toutes les rues où on doit rouler sur des voies de bus non-séparées de la chaussée";"Le vol est un énorme problème."
"2510";"75008 et 75017";"Pitié pour la langue française, halte à l'écriture ""inclusive"" s'il vous plaît."
"2511";"Rue de Tolbiac";"Les pistes cyclables et couloirs de bus comportent souvent des nids de poules importants..."
"2512";"Les carrefours";"À Paris beaucoup de communication mais peu d'action réelle. Et une communication officielle opposant constamment  les motorisés et les non  motorisés qui ne fait que renforcer les animosités."
"2513";"Le pont d'Austerlitz en ligne droit en allant vers le Jardin de Plantes";"Je connaîs pas mal de gens qui préfèrent ne pas faire du vélo car écouter de la musique avec des oreillettes est interdit depuis 2015.  Je pen leur utilisation n'empêchent pas d'écouter les bruits de la circulation."
"2514";"Piste cyclable mal pensée (changement de coté fréquent engendrant des chassées croisées avec les piétons/véhicules, des cyclistes perdus en sens contraire. Piste cyclable non séparée de la chaussée et/ou du trottoir engendrant des dangers : livraison, véhicule garé, poussette, cadi sur la piste cyclable etc. (exemple Bd ménilmontant, Bd Macdonald)

Selon moi une piste cyclable mal pensée est plus dangereuse qu'une chaussée large sans aménagement particulier.

Emple de piste cyclable très bien faite : Bd Richard-Lenoir à Paris";"Voir #9"
"2515";"Place de la Concorde";"Verbaliser les 2 roues motorisés sur leur incivisme"
"2516";"L'axe Chatelet -Gare du Nord/Barbés est l'un des pire que je fréquente";"Des efforts sont fait, notamment les aménagements autour de la construction du tramway circulaire, mais le réseau reste bien trop disparate et vu les flux, la circulations dans les voies de bus/TAXIS!!! devient extrêmement problématique"
"2517";"Sur les grands axes où les vélos partages la voie des bus (rue de Rivoli)";"Non"
"2518";NA;"
En résumé, je dirais peut mieux faire ! Il y a eu beaucoup de progrès, notamment le tourner à droite au feu rouge autorisé, les sens interdits autorisés, mais pas partout hélas. Trop de voitures, en général, de personnes seules dans une tonne de ferraille! Un danger permanent et la pollution irréspirable ainsi que le bruit."
"2519";"16ème arrondissement";"Meilleure compréhension mutuelle entre usagers de la route (automobilistes, livreurs, cyclistes, piétons etc)"
"2520";"Il manque de stationnement pour accrocher les velos lorsque je fais des courses dans paris.impossibilité de laisser le vélo en stationnement une nuit sinon vol ou dégradation autour des gares ou dans la ville .puétons agressifs rt automobilistes agressifs.rue à double sens très dangereuses car les automobilistes pensent que nous sommes en tort besoin de panneaux qui indique ces rues la.danger sur les ronds points";"Le vélo est le meilleur moyen de transport pour les parisiens! Il garanti santé et bonne humeur.ce pendant il manque de sérénité piétons et automobilistes nous considère comme des parasites de la route et pensent que nous fraudons constament lorsque nous sommes dans des zones piétonnes ou lorsque nous roulons à double sens dans les rue ou cela est utilusé.proposer des garages adaptés et surveillé permettrait d'avoir des vélos mieux équipés et mieux adapté.cela reste réservé à ceux qui on un garage ou la place chez eux.paris manque encore de pistes cyclables même si je constate que les choses bouges continuons"
"2521";"boulevard magenta";NA
"2522";"rue de rivoli, boulevard de clichy, boulevard la chapelle, champs elysée, avenue d'iena, avenue marceau,";NA
"2523";"Au tour de Jaurès, beaucoup de vols, beaucoup de traffic motorisé, beaucoup de travaux rendant les passages à vélos dangereux.";NA
"2524";"Les couloirs de bus partagés avec les vélos sont dangereux notamment à cause des voitures qui tournent a droite sans prêter attention aux vélos ( ex : Bd Saint Michel)";"On se damande parfois si les archi qui concoivent les pistes cyclables sont eux même cyclistes ???"
"2525";"les grands boulevards, rond point, voie de bus trés dangereuse, les double sens";"la place consacré au vélo ou piéton dans l'espace public est trop minime par rapport a la voiture"
"2526";"Rue Lafayette, notamment au niveau du croisement avec le boulevard magenta";NA
"2527";"Grands carrefours (ex : Villiers / Malesherbes)
Rues à circulation modérée sans protection pour les vélos, coincés entre les voitures en stationnement et les chauffeurs agacés qui veulent absolument doubler tout de suite 
Conduite à risque de certains automobilistes, en particulier les chauffeurs de taxi (agressifs)";NA
"2528";"porte de la chapelle";NA
"2529";"la place de la chapelle (par exemple) et les grands axes où il n'y a pas de piste cyclable physiquement séparée de la circulation";NA
"2530";"rond points et carrefours";NA
"2531";"le boulevard saint martin et le boulevard hausmann";"Il faudrait pacifier les relations entre vélo, scooters et voitures. Faire respecter les limitations de vitesse pour les scooters. Faire respecter les pistes cyclables au scooters. Faire respecter les zones devant les feux réservés au vélo que ce soit par les voitures et scooters."
"2532";"Stalingrad direction la chapelle";"il faudra aussi mettre en place une police vélo! en effet parfois le piéton n'a plus de droit et encore moins quand c'est un enfant / à vélo ou à pieds."
"2533";"Les grands axes centraux (grands boulevards, Strasbourg Saint Denis, ...)";"On vois que des efforts sont déjà en cours, et on apprécie connaissant la résistance des automobilistes"
"2534";"place de la Concorde
porte de Montreuil
boulevard de la Chapelle";"favoriser la location longue durée (comme Métrovélo à Grenoble) plutôt que les vélos en libre service dont la disponibilité n'est pas toujours certaine
renforcer les incitations pour l'installation de locaux vélos dans les immeubles anciens"
"2535";"Place de l'Etoile";NA
"2536";"Maréchaux, Etoile, Concorde";NA
"2537";"Tous les axes très fréquentés par les voitures, rond point entrée de periphériques etc…";"Développer le stationnement sécurisé et dans les immeubles ou souvent les vélos s'entassent et peuvent être volés"
"2538";"Boulevard saint Michel";"Pistes cyclables séparées"
"2539";"centre";"il faut faire des itiniraires alternatifs via les rues residentielles pour eviter que les voitures cotoient les vélos"
"2540";"les gros ronds points";"la situation s'est beaucoup améliorée"
"2541";"L'ensemble des places aprisiennes";"informer et former toutes les générations, mettre sur des vélos les ingénieur.es qui tracent les pistes"
"2542";"devant les grandes gares";NA
"2543";"Les grandes places (telles que Bastille, place ...), les grands axes sans piste séparée, les pistes le long des marchés (très pénible et très dangereux), place de Clichy, rue de Rivoli, les quais...";NA
"2544";"place de la Bastille";"Au vue de la conduite de nombreux cyclistes parisiens, un apprentissage du code de la route pourrait s'avérer très utile"
"2545";"Configuration suivante : (dans l’ordre de gauche à droite) Voie simple à sens unique, places de parkings, piste cyclable séparée, trottoir. 
Exemple : Boulevard de Garibaldi, ou boulevard de Grenelle entre Bir-Hakeim et Dupleix.
Configuration hyper-dangereuse pour les piétons venant de traverser, qui ne voient pas les vélos arriver (cachés par les voitures garées) et vice-versa. De plus dès qu’il y a un souci temporaire, les camions n’hésitent pas à se garer dessus, ne laissant aucune possibilité de sortie. Enfin visibilité très faible des vélos pour les voitures tournant à droite par exemple, et n’estimant pas la vitesse des vélos. Dans le même genre de configuration, une bande cyclable est largement préférable (cf. Boulevard de Grenelle entre Dupleix et la Motte-Piquet), surtout dans la mesure où le trafic est a vitesse très raisonnable. La bande cyclable permet de doubler des vélos lents si possible, d’être vu, de voir et de pouvoir parer à toute situation accidentogène plus simplement. On peut également plus facilement signaler aux voitures de s’arrêter à un passage piéton par exemple (on voit beaucoup mieux les piétons à vélo qu’en voiture).";"Faire respecter les piétons. Des contrôles de police pour verbaliser les passages au passage piéton (sans feu) alors qu’il y a un piéton qui veut traverser seraient bien plus efficaces pour changer les mentalités (des cyclistes et des automobilistes et motards) que d’autres verbalisations (typiquement un vélo se déplaçant temporairement à la vitesse des piétons sur un trottoir pour pouvoir remonter une rue ou un bloquage). De même, verbaliser les voitures se plaçant sur les sas vélos, ou les cyclomotards se mettant sur le passage piétons au feu rouge serait une bonne chose."
"2546";NA;"C'est la merde, il faut bien anticiper et se faire petit"
"2547";"Tous les grands axes où la piste cyclable n'est pas séparée de la voie de bus (ils sont très nombreux).";NA
"2548";"Avenue d'Italie";NA
"2549";"Les pistes cyclables s'arrêtent brusquement. Le partage des voies de bus est une fausse solution";"Il est urgent de valoriser l'image des cyclistes et de verbaliser les usagers qui commettent des infractions à l'égard des cyclistes"
"2550";"Pistes cyclables sur voies de bus étroites.";NA
"2551";"Aucune piste cyclabe sur l'avenue des Flandres. Boulevard de la chapelle, horible car pas entretenu, fléquenté par les scooters et jonché de véhicule en stationnement. Pour rejoindre Courbevoie part la D908, c'est le chao sur cette grande 2x2 voie ou les automobilistes sont agressifs, aucune piste cyclable a l'horizon, ou pire pour retourner sur Paris on est dans le couloir de bus qui n'est pas assez large pour un bus + un velo";NA
"2552";"Carrefours";NA
"2553";"Les rues minuscules ouvertes en sens inverse aux vélos est très dangereux. 
Sur les grand axes il y a en permanence des véhicules stationnés dans les couloirs vélos";NA
"2554";"Dans les gros ronds points (Nation, Bastille, Concorde, Champs Elysées, République est devenu plus abordable désormais, mais ça reste compliqué suivant le trajet que l'on souhaite emprunter";"Les vélos se croient aussi tout permis, les piétons doivent désormais surveiller davantage leur trajet. Les cyclistes devraient respecter les feux ! Et les passages piétons. Pourquoi ne le font-ils pas ? Peut-être parce que les trajets sont espacés de beaucoup d'arrêts et de coupures de route. Faciliter les accès aux communes environnantes est important. Mettre davantage de bornes vélos dans des endroits où il y en a peu et où il faut marcher 10 min avant de trouver une borne. Démocratiser le vélo, conserver le forfait à 27 euros l'année est une priorité, le vélo ne doit pas être un luxe, surtout quand on le loue à défaut de s'en acheter un (puisqu'on se le fait voler!)"
"2555";"les petites rues à sens unique pour les voitures sont dangereuses lorsque des voitures sont garées de chaque côté de la chaussée. Les grands carrefour sont pas sécurisant pour les vélos";"des pistes cyclables au milieu de la chaussée et les voitures sur des routes autour"
"2556";"Les gros carrefours, tels les portes de Paris. A noter que la porte de Passy est très bien aménager pour les vélos (piste cyclable au centre, séparée par un muret, avec des feux spécifiques vélos).";NA
"2557";"Tous les grandes places et grands ronds-points (ex. : place de la Bastille, porte de Saint-Cloud, place de l'Etoile, etc.)";NA
"2558";"Boulevard de l'hopital  / Place Valhubert";"L'usage du vélo progresse bien trop peu à Paris; c'est en circulant dans d'autres grandes villes européennes bien aménagées pour le vélo, où il dépasse une part modale de 15% qu'on se rend compte à quel point Paris a du retard. Pollution irrespirable aux heures de pointe, nuisances sonores et agressivité des motorisés, invasion des 2RM dans les espaces cyclables, aménagements mal conçus, discontinus... Il reste tant d'obstacles à la cyclabilité!"
